"from" "to" "weight"
114 118 668
114 136 29
114 140 109
114 152 1
114 157 6
114 165 2
114 170 114
115 24 227
115 33 9
115 41 1
115 51 12
115 54 210
115 68 8
115 97 3
115 109 4
115 118 14
115 136 150
115 140 8
115 157 1
115 170 50
116 23 3
116 24 759
116 33 13
116 41 13
116 51 34
116 54 493
116 68 6
116 72 3
116 97 5
116 108 3
116 109 21
116 118 85
116 136 405
116 140 28
116 157 16
116 165 1
116 170 326
117 7 3
117 23 3
117 24 746
117 33 47
117 41 99
117 51 150
117 54 7
117 68 3
117 72 1
117 97 21
117 108 3
117 109 20
117 118 18
117 136 6
117 140 30
117 152 8
117 157 8
117 165 16
117 170 14
118 7 59
118 23 29
118 24 2064
118 33 100
118 41 16
118 51 109
118 54 89
118 68 281
118 72 12
118 97 18
118 108 8
118 109 107
118 118 6626
118 136 113
118 140 209
118 152 17
118 157 26
118 165 5
118 170 131
119 7 5
119 23 2
119 24 89
119 33 9
119 51 5
119 54 1
119 68 24
119 97 2
119 109 6
119 118 262
119 136 13
119 140 16
119 165 1
119 170 11
120 23 2
120 24 342
120 33 57
120 41 204
120 51 43
120 54 4
120 68 2
120 72 2
120 97 51
120 108 1
120 109 7
120 118 12
120 136 4
120 140 5
120 152 1
120 165 7
120 170 6
121 7 1
121 23 14
121 24 3578
121 33 112
121 41 39
121 51 231
121 54 56
121 68 22
121 72 12
121 97 24
121 108 13
121 109 97
121 118 136
121 136 84
121 140 107
121 152 4
121 157 35
121 165 48
121 170 40
122 24 85
122 33 254
122 41 10
122 51 11
122 54 3
122 68 1
122 72 2
122 97 95
122 108 37
122 109 2
122 118 5
122 136 3
122 140 6
122 170 2
123 7 2
123 23 2
123 24 370
123 33 1005
123 41 40
123 51 57
123 54 8
123 68 5
123 97 64
123 108 147
123 109 4
123 118 5
123 136 8
123 140 47
123 152 56
123 157 4
123 170 8
124 7 32
124 23 63
124 24 4392
124 33 242
124 41 101
124 51 403
124 54 63
124 68 58
124 72 4
124 97 39
124 108 20
124 109 248
124 118 190
124 136 117
124 140 240
124 152 31
124 157 46
124 165 36
124 170 47
125 23 4
125 24 580
125 33 21
125 41 41
125 51 96
125 54 28
125 68 10
125 72 1
125 97 12
125 108 7
125 109 28
125 118 18
125 136 24
125 140 14
125 152 3
125 157 6
125 165 45
125 170 12
126 7 2
126 23 7
126 24 1530
126 33 132
126 41 348
126 51 184
126 54 41
126 68 11
126 72 4
126 97 89
126 108 12
126 109 48
126 118 74
126 136 30
126 140 65
126 152 18
126 157 9
126 165 16
126 170 11
127 7 4
127 23 1
127 24 322
127 33 105
127 41 5
127 51 25
127 54 42
127 68 37
127 108 1
127 109 60
127 118 181
127 136 34
127 140 35
127 152 2
127 157 2
127 170 83
128 7 1
128 24 157
128 33 102
128 41 6
128 51 196
128 54 5
128 68 13
128 97 3
128 108 14
128 109 17
128 118 7
128 136 2
128 140 189
128 152 10
128 157 1
128 170 2
129 24 486
129 33 260
129 41 60
129 51 35
129 54 10
129 68 1
129 72 3
129 97 412
129 108 140
129 109 18
129 118 6
129 136 13
129 140 10
129 152 1
129 157 4
129 170 5
130 23 3
130 24 381
130 33 10
130 41 3
130 51 24
130 54 282
130 68 4
130 72 1
130 97 1
130 109 11
130 118 113
130 136 506
130 140 19
130 170 159
131 7 3
131 24 63
131 33 5
131 51 7
131 68 65
131 109 4
131 118 197
131 136 14
131 140 14
131 157 3
131 165 1
131 170 11
132 23 2
132 24 312
132 33 216
132 41 44
132 51 31
132 54 7
132 68 1
132 72 1
132 97 409
132 108 102
132 109 10
132 118 4
132 136 10
132 140 14
132 152 1
132 157 3
132 170 2
133 7 1
133 24 56
133 33 1
133 51 9
133 68 18
133 97 1
133 109 2
133 118 232
133 136 13
133 140 5
133 157 1
133 170 8
134 7 4
134 23 1
134 24 200
134 33 11
134 41 4
134 51 6
134 54 15
134 68 48
134 97 3
134 109 15
134 118 725
134 136 16
134 140 58
134 152 1
134 157 2
134 165 22
134 170 19
135 7 6
135 23 11
135 24 796
135 33 26
135 41 4
135 51 59
135 54 32
135 68 67
135 72 1
135 97 12
135 109 67
135 118 224
135 136 42
135 140 36
135 152 4
135 157 10
135 165 5
135 170 208
136 7 1
136 23 3
136 24 1485
136 33 57
136 41 9
136 51 59
136 54 395
136 68 16
136 72 5
136 97 6
136 108 4
136 109 16
136 118 235
136 136 1702
136 140 92
136 152 1
136 157 8
136 165 1
136 170 123
137 24 172
137 33 6
137 41 3
137 51 3
137 54 75
137 68 10
137 72 1
137 97 1
137 109 3
137 118 69
137 136 111
137 140 9
137 152 3
137 157 1
137 165 1
137 170 157
138 7 1
138 23 6
138 24 598
138 33 131
138 41 31
138 51 468
138 54 15
138 68 47
138 72 1
138 97 25
138 108 17
138 109 41
138 118 39
138 136 10
138 140 545
138 152 90
