"scenario","scenario_label","effect_label","effect","family","scale","channel","replicates","calibrated_detection_rate","mean_score","median_score","score_q025","score_q975","null_threshold_95"
"destination_attraction","Destination-attraction shock","medium",0.5,"structural roles","label-invariant partition","estimated_role_instability",200,0.04,0.942682078940683,0.951093971513348,0.847017307522869,1.00471943149233,0.991691287431846
"destination_attraction","Destination-attraction shock","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,1,0.464953504565643,0.465380029260047,0.400446130678994,0.540402386046208,0.217562537442136
"destination_attraction","Destination-attraction shock","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0.99,0.218120380646247,0.218139116567661,0.185513960154371,0.248620666930824,0.175316396283842
"destination_attraction","Destination-attraction shock","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,1,1.22335937614473,1.21212421598878,0.984969554106433,1.5356284449032,0.660067728143905
"destination_attraction","Destination-attraction shock","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",200,1,0.818563395863632,0.81190972232427,0.679675445050518,0.974507952482108,0.577920598282863
"destination_attraction","Destination-attraction shock","medium",0.5,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",200,1,0.37565084085444,0.372405952022103,0.301019265909636,0.454043813128098,0.169874751219579
"destination_attraction","Destination-attraction shock","medium",0.5,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",200,1,0.240935633168793,0.236667402492577,0.16299331336163,0.325856097776506,0.147092610054326
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,0.835,0.0353770858216811,0.0356994584436619,0.0130699781136578,0.0585170133035038,0.0239801659950453
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_edge_density",200,0.81,0.0227721518987342,0.0230221518987342,0.00791139240506328,0.0386155063291139,0.0159889240506329
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_effective_destinations",200,1,0.0919583604900909,0.0913115002895597,0.0540027289958922,0.137454868157958,0.0212173104812073
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,1,0.108479902482452,0.109461837733622,0.0702412770938096,0.144451259551945,0.0340800096386451
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.455,0.0317412039045387,0.0310907526922264,0.0022926560654751,0.0670485859878565,0.0326812569457221
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,1,0.0712992210567194,0.0724304100474249,0.0420744726004085,0.106648416670385,0.0218795240206667
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_total_weight",200,1,0.26777209073092,0.267069531632937,0.21097826387784,0.324703855484265,0.0710006686478987
"destination_attraction","Destination-attraction shock","medium",0.5,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,0.565,0.0403465474649489,0.040433072784327,0.00689054318466412,0.075098142238104,0.0380365767076742
"destination_attraction","Destination-attraction shock","medium",0.5,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,1,20.8573919768922,20.7599810879555,14.9991534136519,28.2953689618297,4.09260438547839
"destination_attraction","Destination-attraction shock","medium",0.5,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,1,6.16843354547355,5.92901370181327,3.89689405358329,9.21158915664355,2.86333377600237
"destination_attraction","Destination-attraction shock","small",0.25,"structural roles","label-invariant partition","estimated_role_instability",200,0.065,0.933321472382141,0.939016240887811,0.81264966766641,0.998011852776726,0.991691287431846
"destination_attraction","Destination-attraction shock","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",200,0.995,0.29321726190325,0.295705977233226,0.239174952253297,0.354831927107137,0.217562537442136
"destination_attraction","Destination-attraction shock","small",0.25,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",200,0.575,0.176466883148129,0.177705421096257,0.149037597951608,0.203568496193488,0.175316396283842
"destination_attraction","Destination-attraction shock","small",0.25,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",200,0.955,0.786119226257996,0.778176884053438,0.649209762614203,0.955818987530793,0.660067728143905
