"year","K","nodeID","nodeLabel","nodeLat","nodeLong","raw_block","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
"2015",2,"149","Szigetvari",46.0482577,17.8123125,1,2,2,0,516,5.60371100164184,9.20804597701122,0.497126436781609,73,FALSE,FALSE
"2015",2,"150","Szikszoi",48.1949949,20.9294318,1,2,2,0,436,5.60371100164184,9.20804597701122,0.497126436781609,75,FALSE,FALSE
"2015",2,"151","Szobi",47.818012,18.8667731,1,2,2,0,333,5.60371100164184,9.20804597701122,0.497126436781609,76,FALSE,FALSE
"2015",2,"152","Szolnoki",47.174662,20.17628,1,2,2,1597,4278,5.60371100164184,9.20804597701122,0.497126436781609,15,TRUE,TRUE
"2015",2,"153","Szombathelyi",47.23514,16.6219178,1,2,2,0,4122,5.60371100164184,9.20804597701122,0.497126436781609,23,FALSE,FALSE
"2015",2,"154","Tabi",46.729486,18.0329558,1,2,2,0,227,5.60371100164184,9.20804597701122,0.497126436781609,77,FALSE,FALSE
"2015",2,"155","Tamasi",46.6295947,18.2846991,1,2,2,0,863,5.60371100164184,9.20804597701122,0.497126436781609,78,FALSE,FALSE
"2015",2,"156","Tapolcai",46.88289,17.4413581,1,2,2,0,1049,5.60371100164184,9.20804597701122,0.497126436781609,79,FALSE,FALSE
"2015",2,"157","Tatabanyai",47.5861869,18.3947662,1,2,2,908,3078,5.60371100164184,9.20804597701122,0.497126436781609,16,TRUE,TRUE
"2015",2,"158","Tatai",47.655255,18.3285248,1,2,2,0,1670,5.60371100164184,9.20804597701122,0.497126436781609,80,FALSE,FALSE
"2015",2,"159","Teti",47.515979,17.5168418,1,2,2,0,455,5.60371100164184,9.20804597701122,0.497126436781609,81,FALSE,FALSE
"2015",2,"160","Tiszafuredi",47.615345,20.7617821,1,2,2,0,926,5.60371100164184,9.20804597701122,0.497126436781609,83,FALSE,FALSE
"2015",2,"161","Tiszaujvarosi",47.92291,21.052195,1,2,2,0,1212,5.60371100164184,9.20804597701122,0.497126436781609,84,FALSE,FALSE
"2015",2,"162","Tiszavasvari",47.9511368,21.3687867,1,2,2,0,967,5.60371100164184,9.20804597701122,0.497126436781609,85,FALSE,FALSE
"2015",2,"163","Tokaji",48.119994,21.412563,1,2,2,0,356,5.60371100164184,9.20804597701122,0.497126436781609,86,FALSE,FALSE
