"metric","metric_role","fixed_K","year_pair","distance"
"frobenius","primary",4,"2013-2014",43.9453277265863
"frobenius","primary",4,"2014-2015",23.7183002310056
"frobenius","primary",4,"2015-2016",24.1274375446647
"frobenius","primary",4,"2016-2017",48.3026599048543
"frobenius","primary",4,"2017-2018",104.731144362026
"frobenius","primary",4,"2018-2019",69.1461535618411
"frobenius","primary",4,"2019-2020",38.7830327968575
"frobenius","primary",4,"2020-2021",67.8490017262171
"frobenius","primary",4,"2021-2022",24.6581078546704
"frobenius","primary",4,"2022-2023",83.6854514484671
"frobenius","primary",4,"2023-2024",18.2352945981349
"cut","primary",4,"2006-2007",0.917844729703048
"cut","primary",4,"2007-2008",1.63749147289104
"cut","primary",4,"2008-2009",1.78254007371154
"cut","primary",4,"2009-2010",2.84915495425353
"cut","primary",4,"2010-2011",0.883888085669922
"cut","primary",4,"2011-2012",2.97338821339058
"cut","primary",4,"2012-2013",2.28654588685654
"cut","primary",4,"2013-2014",1.10295002311404
"cut","primary",4,"2014-2015",0.755579696620429
"cut","primary",4,"2015-2016",1.06962174958002
"cut","primary",4,"2016-2017",1.20578277614076
"cut","primary",4,"2017-2018",4.04025838069711
"cut","primary",4,"2018-2019",2.57886495734911
"cut","primary",4,"2019-2020",2.40379780838452
"cut","primary",4,"2020-2021",1.94219378504628
"cut","primary",4,"2021-2022",1.07240830705103
"cut","primary",4,"2022-2023",3.57846621315159
"cut","primary",4,"2023-2024",1.21135952488238
"wasserstein","secondary",4,"2006-2007",1.245082297191
"wasserstein","secondary",4,"2007-2008",3.24230825104996
"wasserstein","secondary",4,"2008-2009",1.57515102040815
"wasserstein","secondary",4,"2009-2010",2.78529057273543
"wasserstein","secondary",4,"2010-2011",0.667738079659654
"wasserstein","secondary",4,"2011-2012",2.89885336765284
"wasserstein","secondary",4,"2012-2013",2.02938775510287
"wasserstein","secondary",4,"2013-2014",0.976467705052932
"wasserstein","secondary",4,"2014-2015",0.635834767225995
"wasserstein","secondary",4,"2015-2016",1.71400319654112
"wasserstein","secondary",4,"2016-2017",1.70674368581725
"wasserstein","secondary",4,"2017-2018",4.97971389207878
"wasserstein","secondary",4,"2018-2019",4.57024719927788
"wasserstein","secondary",4,"2019-2020",2.40264662245034
"wasserstein","secondary",4,"2020-2021",2.34478268353245
"wasserstein","secondary",4,"2021-2022",1.40099293302178
"wasserstein","secondary",4,"2022-2023",3.56788998100937
"wasserstein","secondary",4,"2023-2024",1.73616328062347
"jensen_shannon","exploratory",4,"2006-2007",0.021271798888438
"jensen_shannon","exploratory",4,"2007-2008",0.0357628665340835
"jensen_shannon","exploratory",4,"2008-2009",0.0101015620254824
"jensen_shannon","exploratory",4,"2009-2010",0.0204842117738392
"jensen_shannon","exploratory",4,"2010-2011",0.00845399441344203
"jensen_shannon","exploratory",4,"2011-2012",0.011271030106091
"jensen_shannon","exploratory",4,"2012-2013",0.00982841608164577
"jensen_shannon","exploratory",4,"2013-2014",0.0111497014789693
"jensen_shannon","exploratory",4,"2014-2015",0.0126066078393699
"jensen_shannon","exploratory",4,"2015-2016",0.0198779912666715
"jensen_shannon","exploratory",4,"2016-2017",0.0231627216451762
"jensen_shannon","exploratory",4,"2017-2018",0.107770415957868
"jensen_shannon","exploratory",4,"2018-2019",0.0771095980386438
"jensen_shannon","exploratory",4,"2019-2020",0.0282890710543064
"jensen_shannon","exploratory",4,"2020-2021",0.0570271012312905
"jensen_shannon","exploratory",4,"2021-2022",0.0353254555196187
"jensen_shannon","exploratory",4,"2022-2023",0.0172419624526926
"jensen_shannon","exploratory",4,"2023-2024",0.0123765156356568
"total_variation","exploratory",4,"2006-2007",0.0603557757458779
"total_variation","exploratory",4,"2007-2008",0.154834650308702
"total_variation","exploratory",4,"2008-2009",0.0610161026201429
"total_variation","exploratory",4,"2009-2010",0.0788640355088236
"total_variation","exploratory",4,"2010-2011",0.0373812257008793
"total_variation","exploratory",4,"2011-2012",0.0839167263697544
"total_variation","exploratory",4,"2012-2013",0.0579066861869237
"total_variation","exploratory",4,"2013-2014",0.0568152616480903
"total_variation","exploratory",4,"2014-2015",0.0628740332377383
"total_variation","exploratory",4,"2015-2016",0.0865703892757873
"total_variation","exploratory",4,"2016-2017",0.104791654128741
"total_variation","exploratory",4,"2017-2018",0.280325005133368
"total_variation","exploratory",4,"2018-2019",0.201736887882
"total_variation","exploratory",4,"2019-2020",0.0863910122954327
"total_variation","exploratory",4,"2020-2021",0.127333943303155
"total_variation","exploratory",4,"2021-2022",0.08994718665259
"total_variation","exploratory",4,"2022-2023",0.0582399477247525
"total_variation","exploratory",4,"2023-2024",0.0435678457359337
"frobenius","primary",5,"2006-2007",40.4333550127098
"frobenius","primary",5,"2007-2008",27.0799911950993
"frobenius","primary",5,"2008-2009",34.457051343105
"frobenius","primary",5,"2009-2010",66.7777822270428
"frobenius","primary",5,"2010-2011",27.3217928875281
"frobenius","primary",5,"2011-2012",95.4567747896078
"frobenius","primary",5,"2012-2013",64.6065399182426
"frobenius","primary",5,"2013-2014",46.3780839625716
"frobenius","primary",5,"2014-2015",24.8322716332533
"frobenius","primary",5,"2015-2016",26.9287190769797
"frobenius","primary",5,"2016-2017",49.4275669898732
"frobenius","primary",5,"2017-2018",105.05260152417
"frobenius","primary",5,"2018-2019",71.8503565508744
"frobenius","primary",5,"2019-2020",44.0753503102955
"frobenius","primary",5,"2020-2021",73.9720425592001
"frobenius","primary",5,"2021-2022",39.5722350998696
"frobenius","primary",5,"2022-2023",87.6859647242661
"frobenius","primary",5,"2023-2024",25.7818713879936
"cut","primary",5,"2006-2007",1.07919357980293
"cut","primary",5,"2007-2008",1.44216425359127
"cut","primary",5,"2008-2009",2.08614317425419
"cut","primary",5,"2009-2010",3.08512437878243
"cut","primary",5,"2010-2011",1.44619516341737
"cut","primary",5,"2011-2012",3.31797226463373
"cut","primary",5,"2012-2013",2.41165485237877
"cut","primary",5,"2013-2014",1.23851898221404
"cut","primary",5,"2014-2015",0.853442038065285
"cut","primary",5,"2015-2016",0.974253165796345
"cut","primary",5,"2016-2017",1.26906793652305
"cut","primary",5,"2017-2018",4.13808238019445
"cut","primary",5,"2018-2019",2.75883785619174
"cut","primary",5,"2019-2020",2.75087207654471
"cut","primary",5,"2020-2021",2.92273929217518
"cut","primary",5,"2021-2022",2.3031630366735
"cut","primary",5,"2022-2023",3.95774665867774
"cut","primary",5,"2023-2024",1.27324222695036
"wasserstein","secondary",5,"2006-2007",1.47395468471691
"wasserstein","secondary",5,"2007-2008",2.37206412121003
"wasserstein","secondary",5,"2008-2009",1.70412888540032
"wasserstein","secondary",5,"2009-2010",3.79738195298881
"wasserstein","secondary",5,"2010-2011",2.35336086814666
"wasserstein","secondary",5,"2011-2012",3.301485687097
"wasserstein","secondary",5,"2012-2013",2.14540645639983
"wasserstein","secondary",5,"2013-2014",0.698428570924613
"wasserstein","secondary",5,"2014-2015",0.81285932739279
"wasserstein","secondary",5,"2015-2016",0.757123491355346
"wasserstein","secondary",5,"2016-2017",0.985849370818719
"wasserstein","secondary",5,"2017-2018",4.57000398025633
"wasserstein","secondary",5,"2018-2019",3.77902094237326
"wasserstein","secondary",5,"2019-2020",2.41057825157737
"wasserstein","secondary",5,"2020-2021",3.81163710384898
"wasserstein","secondary",5,"2021-2022",3.6369394538171
"wasserstein","secondary",5,"2022-2023",3.55974528383291
"wasserstein","secondary",5,"2023-2024",0.898614196692637
"jensen_shannon","exploratory",5,"2006-2007",0.0208061797173713
"jensen_shannon","exploratory",5,"2007-2008",0.0376860623704296
"jensen_shannon","exploratory",5,"2008-2009",0.011100271526833
"jensen_shannon","exploratory",5,"2009-2010",0.0239453955382994
"jensen_shannon","exploratory",5,"2010-2011",0.0102674351646052
"jensen_shannon","exploratory",5,"2011-2012",0.00954066225827377
"jensen_shannon","exploratory",5,"2012-2013",0.0121623183805505
"jensen_shannon","exploratory",5,"2013-2014",0.0144908622145906
"jensen_shannon","exploratory",5,"2014-2015",0.0130809181162711
"jensen_shannon","exploratory",5,"2015-2016",0.029880004805093
"jensen_shannon","exploratory",5,"2016-2017",0.0321748964927029
"jensen_shannon","exploratory",5,"2017-2018",0.10396340940931
"jensen_shannon","exploratory",5,"2018-2019",0.0847098340463313
"jensen_shannon","exploratory",5,"2019-2020",0.0415381283733772
"jensen_shannon","exploratory",5,"2020-2021",0.0810663157883086
"jensen_shannon","exploratory",5,"2021-2022",0.0555717457310464
"jensen_shannon","exploratory",5,"2022-2023",0.0293531197697841
"jensen_shannon","exploratory",5,"2023-2024",0.0123100904257851
"total_variation","exploratory",5,"2006-2007",0.0911258286322147
"total_variation","exploratory",5,"2007-2008",0.137604948867833
"total_variation","exploratory",5,"2008-2009",0.0700405028784232
"total_variation","exploratory",5,"2009-2010",0.119610433190107
"total_variation","exploratory",5,"2010-2011",0.078039268422103
"total_variation","exploratory",5,"2011-2012",0.0741731873722563
