"year","nodeID","nodeLabel","nodeLat","nodeLong","block","block_size","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","fitted_out_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
2006,"131","Sasdi",46.2548488,18.1060595,2,32,6,11,0,359,0,4.14071428571428,0.436781609195402,0.192528735632184,58,FALSE,FALSE
2006,"132","Satoraljaujhelyi",48.3941408,21.6559965,2,32,6,11,0,938,0,4.14071428571428,0.436781609195402,0.192528735632184,59,FALSE,FALSE
2006,"133","Sellyei",45.8719698,17.8460989,2,32,6,11,0,316,0,4.14071428571428,0.436781609195402,0.192528735632184,60,FALSE,FALSE
2006,"134","Siklosi",45.852147,18.2988281,12,20,6,8,0,937,0,7.51057142857143,0.436781609195402,0.652298850574713,61,FALSE,FALSE
2006,"135","Siofoki",46.9057439,18.0525018,10,37,6,9,0,1560,0,7.07258687258687,0.436781609195402,0.488505747126437,62,FALSE,FALSE
2006,"136","Sopron-Fertodi",47.684898,16.583053,8,9,4,4,10727,3069,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,10,TRUE,TRUE
2006,"137","Sumegi",46.9775543,17.2819824,2,32,6,11,0,488,0,4.14071428571428,0.436781609195402,0.192528735632184,63,FALSE,FALSE
2006,"138","Szarvasi",46.8595081,20.5595884,3,6,5,5,4537,1048,9.5847619047619,22.6028571428571,0.89367816091954,0.89367816091954,21,FALSE,FALSE
2006,"139","Szecsenyi",48.0811488,19.5197217,10,37,6,9,0,713,0,7.07258687258687,0.436781609195402,0.488505747126437,64,FALSE,FALSE
2006,"140","Szegedi",46.2536169,20.1461345,6,3,2,3,31482,9081,188.994285714286,49.5733333333333,0.988505747126437,0.971264367816092,3,TRUE,TRUE
2006,"141","Szeghalomi",47.027309,21.166263,10,37,6,9,0,1135,0,7.07258687258687,0.436781609195402,0.488505747126437,66,FALSE,FALSE
2006,"142","Szekesfehervari",47.1887157,18.4138088,13,21,6,6,0,7153,0,17.1447619047619,0.436781609195402,0.816091954022989,20,TRUE,TRUE
2006,"143","Szekszardi",46.3485623,18.7019205,13,21,6,6,0,3317,0,17.1447619047619,0.436781609195402,0.816091954022989,67,FALSE,FALSE
2006,"144","Szentendrei",47.6734712,19.07254,13,21,6,6,0,4013,0,17.1447619047619,0.436781609195402,0.816091954022989,68,FALSE,FALSE
2006,"145","Szentesi",46.65192,20.2571842,13,21,6,6,0,1349,0,17.1447619047619,0.436781609195402,0.816091954022989,69,FALSE,FALSE
2006,"146","Szentgotthardi",46.9527524,16.2737218,2,32,6,11,0,352,0,4.14071428571428,0.436781609195402,0.192528735632184,70,FALSE,FALSE
2006,"147","Szentlorinci",46.040211,17.989775,7,11,6,12,0,316,0,2.43896103896104,0.436781609195402,0.0689655172413793,71,FALSE,FALSE
2006,"148","Szerencsi",48.162418,21.205206,12,20,6,8,0,1579,0,7.51057142857143,0.436781609195402,0.652298850574713,72,FALSE,FALSE
2006,"149","Szigetvari",46.0482577,17.8123125,5,17,6,10,0,697,0,5.76840336134454,0.436781609195402,0.333333333333333,73,FALSE,FALSE
2006,"150","Szikszoi",48.1949949,20.9294318,5,17,6,10,0,595,0,5.76840336134454,0.436781609195402,0.333333333333333,75,FALSE,FALSE
2006,"151","Szobi",47.818012,18.8667731,2,32,6,11,0,373,0,4.14071428571428,0.436781609195402,0.192528735632184,76,FALSE,FALSE
2006,"152","Szolnoki",47.174662,20.17628,8,9,4,4,5827,5626,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,15,TRUE,TRUE
2006,"153","Szombathelyi",47.23514,16.6219178,8,9,4,4,5088,4279,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,23,FALSE,FALSE
2006,"154","Tabi",46.729486,18.0329558,2,32,6,11,0,425,0,4.14071428571428,0.436781609195402,0.192528735632184,77,FALSE,FALSE
2006,"155","Tamasi",46.6295947,18.2846991,5,17,6,10,0,1163,0,5.76840336134454,0.436781609195402,0.333333333333333,78,FALSE,FALSE
2006,"156","Tapolcai",46.88289,17.4413581,12,20,6,8,0,1447,0,7.51057142857143,0.436781609195402,0.652298850574713,79,FALSE,FALSE
2006,"157","Tatabanyai",47.5861869,18.3947662,8,9,4,4,2981,3493,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,16,TRUE,TRUE
2006,"158","Tatai",47.655255,18.3285248,10,37,6,9,0,1759,0,7.07258687258687,0.436781609195402,0.488505747126437,80,FALSE,FALSE
2006,"159","Teti",47.515979,17.5168418,2,32,6,11,0,442,0,4.14071428571428,0.436781609195402,0.192528735632184,81,FALSE,FALSE
2006,"160","Tiszafuredi",47.615345,20.7617821,10,37,6,9,0,1348,0,7.07258687258687,0.436781609195402,0.488505747126437,83,FALSE,FALSE
2006,"161","Tiszaujvarosi",47.92291,21.052195,2,32,6,11,0,1493,0,4.14071428571428,0.436781609195402,0.192528735632184,84,FALSE,FALSE
2006,"162","Tiszavasvari",47.9511368,21.3687867,12,20,6,8,0,1168,0,7.51057142857143,0.436781609195402,0.652298850574713,85,FALSE,FALSE
2006,"163","Tokaji",48.119994,21.412563,2,32,6,11,0,580,0,4.14071428571428,0.436781609195402,0.192528735632184,86,FALSE,FALSE
