"from_year","to_year","transition","analysis_dimension","estimator","fixed_K","family","scale","channel","score","evidence_percentile","robust_z"
2007,2008,"2007-2008","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.0595028130415962,0.588235294117647,0.360978783209671
2007,2008,"2007-2008","resolution","block",2,"structural roles","label-invariant partition","estimated_role_instability",0,0.323529411764706,0
2007,2008,"2007-2008","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",26.659857159364,0.294117647058824,-0.813837145388351
2007,2008,"2007-2008","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.63749147289104,0.470588235294118,-0.108717736211272
2007,2008,"2007-2008","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",3.24230825104996,0.823529411764706,1.7653881683063
2007,2008,"2007-2008","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.68526801937783,0.588235294117647,0.272880699399728
2007,2008,"2007-2008","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.154770895354321,0.88235294117647,3.57391494459587
2007,2008,"2007-2008","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.267422045638668,0.88235294117647,3.47029680289184
2007,2008,"2007-2008","resolution","block",4,"structural roles","label-invariant partition","estimated_role_instability",0.681682666839382,0.941176470588235,2.09781853301762
2007,2008,"2007-2008","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",28.3689199366716,0,-1.37729020142696
2007,2008,"2007-2008","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.32289337987063,0.117647058823529,-1.87908393418629
2007,2008,"2007-2008","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.41440874649698,0.0588235294117647,-2.37752693349782
2007,2008,"2007-2008","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.77172775933206,0.0588235294117647,-1.22694228257923
2007,2008,"2007-2008","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.116005346747729,0.176470588235294,-2.97698202666712
2007,2008,"2007-2008","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.125146362259203,0.117647058823529,-2.65187371837243
2007,2008,"2007-2008","resolution","block",8,"structural roles","label-invariant partition","estimated_role_instability",0.719708725292929,0.235294117647059,-0.920607260598749
2007,2008,"2007-2008","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",38.2505948938675,0.0588235294117647,-1.09581705186864
2007,2008,"2007-2008","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.90558860847616,0.411764705882353,-0.566981520062119
2007,2008,"2007-2008","resolution","block",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.77008686937299,0.294117647058824,-0.588543747693415
2007,2008,"2007-2008","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.39008319876621,0.411764705882353,-0.198393741994456
2007,2008,"2007-2008","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.148945713925653,0.470588235294118,-0.0265341330455393
2007,2008,"2007-2008","resolution","block",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.137381513039746,0.470588235294118,-0.27977151626184
2007,2008,"2007-2008","resolution","block",13,"structural roles","label-invariant partition","estimated_role_instability",0.852600096067616,0.823529411764706,0.88554513559856
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_total_weight",0.114521427811543,0.705882352941177,1.23880681446126
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_edge_density",0.00108374384236452,0.352941176470588,-0.746666666666671
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",0.0145642625526959,0.764705882352941,1.06883078013172
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_in_strength_gini",0.000964824784022378,0.529411764705882,0.0828336858232795
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_out_strength_gini",0.0115370436758881,0.588235294117647,0.157489270853219
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_effective_destinations",0.00558330855125355,0.117647058823529,-1.08136059552218
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_top10_destination_share",0.00800462188395856,0.529411764705882,0.140746812299942
2008,2009,"2008-2009","conventional",,,"conventional indicator","native indicator scale","indicator_binary_transitivity",0.00248880669950408,0.117647058823529,-0.704857413797831
2008,2009,"2008-2009","adjacency benchmark",,,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",1718.5114076946,0.352941176470588,-0.280584730340723
2008,2009,"2008-2009","adjacency benchmark",,,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",89.7435497647774,0.411764705882353,-0.241177021367249
2008,2009,"2008-2009","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",47.4415183593281,0.411764705882353,-0.290279481123089
2008,2009,"2008-2009","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",2.67222614826844,0.647058823529412,0.766958927595439
2008,2009,"2008-2009","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",2.47813910853726,0.705882352941177,0.864082229811951
2008,2009,"2008-2009","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.1854243018615,0.294117647058824,-0.719618115574756
2008,2009,"2008-2009","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.116961331231532,0.352941176470588,-0.882180967071545
2008,2009,"2008-2009","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.13434004845319,0.352941176470588,-0.532218757798663
2008,2009,"2008-2009","estimator","block",13,"structural roles","label-invariant partition","estimated_role_instability",0.833251814143141,0.529411764705882,0.0553585229885757
2008,2009,"2008-2009","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",42.1203338173397,0.470588235294118,-0.0639346621447166
2008,2009,"2008-2009","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.95607381624825,0.647058823529412,0.582287361303689
2008,2009,"2008-2009","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",2.06170127277331,0.647058823529412,0.354172375308573
2008,2009,"2008-2009","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.69961137410068,0.529411764705882,0.067027958001251
2008,2009,"2008-2009","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.0583675052481323,0.470588235294118,-0.0670620712399383
2008,2009,"2008-2009","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.0943296315092532,0.529411764705882,0.0467582507276639
2008,2009,"2008-2009","estimator","smooth",13,"structural roles","label-invariant partition","estimated_role_instability",0.0774708187595566,0.352941176470588,-0.183866009635579
2008,2009,"2008-2009","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",54.3793477787773,0.352941176470588,-0.420542178825541
2008,2009,"2008-2009","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",3.01172831952208,0.764705882352941,1.02271209253128
2008,2009,"2008-2009","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",3.24293694481823,0.88235294117647,1.74594046460063
2008,2009,"2008-2009","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.8572230448827,0.470588235294118,-0.0834187936914889
2008,2009,"2008-2009","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.120336300247777,0.588235294117647,0.320653877979889
2008,2009,"2008-2009","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.204462591246746,0.941176470588235,1.35014323994499
2008,2009,"2008-2009","estimator","spectral",13,"structural roles","label-invariant partition","estimated_role_instability",0.195066076349103,0.411764705882353,-0.506463973481391
2008,2009,"2008-2009","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",26.4626328999898,0.294117647058824,-0.477640849192478
2008,2009,"2008-2009","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.56646530612268,0.470588235294118,-0.10962632872152
2008,2009,"2008-2009","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.56646530612183,0.470588235294118,-0.14075715891652
2008,2009,"2008-2009","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",1.62581269242619,0.352941176470588,-0.284838517388931
2008,2009,"2008-2009","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.0102630609560709,0.176470588235294,-0.886859291802294
2008,2009,"2008-2009","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.020526121912003,0.176470588235294,-0.886859291807854
2008,2009,"2008-2009","resolution","block",2,"structural roles","label-invariant partition","estimated_role_instability",0,0.323529411764706,0
2008,2009,"2008-2009","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",32.4583075327553,0.352941176470588,-0.492911505581096
2008,2009,"2008-2009","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.78254007371154,0.529411764705882,0.108717736211272
2008,2009,"2008-2009","resolution","block",4,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.57515102040815,0.294117647058824,-0.399458310073401
2008,2009,"2008-2009","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.12205201997099,0.411764705882353,-0.390261749380321
2008,2009,"2008-2009","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.0610161026201743,0.352941176470588,-0.556325366330626
2008,2009,"2008-2009","resolution","block",4,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.0915241539303025,0.411764705882353,-0.764613696603362
2008,2009,"2008-2009","resolution","block",4,"structural roles","label-invariant partition","estimated_role_instability",0.504287576076487,0.764705882352941,0.477922826186036
2008,2009,"2008-2009","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",43.8527929543768,0.235294117647059,-0.649883778277448
2008,2009,"2008-2009","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",3.25564232841732,0.588235294117647,0.298575638633994
2008,2009,"2008-2009","resolution","block",8,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",3.72068825925873,0.764705882352941,1.06348601642527
2008,2009,"2008-2009","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.066490959732,0.235294117647059,-0.900859958536318
2008,2009,"2008-2009","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.197854660325302,0.411764705882353,-0.101602792481851
2008,2009,"2008-2009","resolution","block",8,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.269596191104482,0.823529411764706,1.06411047119331
